,plantname,date,batch,sample,amplicon,frac,cooc,count,mut_all,mut_oneless,BR,EU,UK,ZA,IN2,IN1,IN3,AY42,mu,om
136,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,75,,,0,0,0,,,,,,,,,,1.0
137,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,76,,,0,0,0,,,,,,,,,,1.0
138,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,78,,,0,0,0,,,,,,,,,,1.0
139,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,88,,,0,0,0,,,,,,,,,,1.0
140,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,71,,,0,0,0,1.0,,,,,,,,,
141,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,95,0.0,2.0,4374,0,1,1.0,,,,,,,,,
142,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,77,,,0,0,0,,1.0,,,,,,,,
143,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,72,,,0,0,0,,,1.0,,,,,,,
144,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,78,,,0,0,0,,,1.0,,,,,,,
145,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,92,,,0,0,0,,,1.0,,,,,,,
146,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,93,,,0,0,0,,,1.0,,,,,,,
147,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,76,,,0,0,0,1.0,,,1.0,,,,,,
148,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,73,,,0,0,0,,,,1.0,,,,,,
149,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,91,,,0,0,0,,,,,1.0,,,,,
150,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,76,,,0,0,0,,,,,,1.0,1.0,,,
151,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,76,,,0,0,0,,,,,1.0,,,1.0,,
